codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
74710,DADA LATA SWEET PINK 4X6X355,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44365,EL ESTECO CHAMPENOISE 4X750,El Esteco,Champaña Alta y Premium,El Esteco,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74551,COSTA & PAMPA E. BRUT 6X750,Trapiche,Champaña Alta y Premium,Espumante Costa&Pampa,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74552,COSTA & PAMPA B. ROSÉ 6X750,Trapiche,Champaña Alta y Premium,Espumante Costa&Pampa,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80045,SPARK NC BRUT ROSE 6X750 PREM,Navarro Correas,Champaña Alta y Premium,NC Espumantes,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80046,SPARK NC DLCE  6X750,Navarro Correas,Champaña Alta y Premium,NC Espumantes,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80048,SPARK NC EBRUT 6X750 PREM,Navarro Correas,Champaña Alta y Premium,NC Espumantes,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80094,NC SPARK EXTRA BRUT LATA 4X6X355,Navarro Correas,Champaña Alta y Premium,NC Espumantes,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80050,SPARK NC NATURE 6X750 PREM,Navarro Correas,Champaña Alta y Premium,NC Espumantes,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
35103,SMIRNOFF ICE LATA 4X6X473 (35103),Diageo,RTD (S),Smirnoff Ice,RTD (S),Categoria no es 'Vinos del año'; validar contra Tags Gescom
35104,SMF ICE GREENAPPLE LAT 4X6X473 (35104),Diageo,RTD (S),Smirnoff Ice Flavours,RTD (S),Categoria no es 'Vinos del año'; validar contra Tags Gescom
35105,SMF ICE RED BERRIE LAT 4X6X473 (35105),Diageo,RTD (S),Smirnoff Ice Flavours,RTD (S),Categoria no es 'Vinos del año'; validar contra Tags Gescom
35107,Gordon´s Tonic 4X6X473 (35107),Diageo,Primary (S),Gordon´s,RTD (S),Categoria no es 'Vinos del año'; validar contra Tags Gescom
35109,SMF BC GRAPEFRUIT &LIME LATA 4X6X473,Diageo,RTD (S),Smirnoff Bitter Citric RTD,RTD (S),Categoria no es 'Vinos del año'; validar contra Tags Gescom
30010,J&B RARE 12X750,Diageo,Standard (S),J&B Rare,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30001,JW RED 12X750 UK,Diageo,Standard (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30002,JW RED 12X1000 UK,Diageo,Standard (S),JW,Whisky,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30019,SMIRNOFF 21 DO 12X700,Diageo,Standard (S),Smirnoff,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30020,SMIRNOFF GREEN APPLE DO 6X700,Diageo,Standard (S),Smirnoff,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
30022,SMIRNOFF RASPBERRY DO 6X700,Diageo,Standard (S),Smirnoff,Vodka,Categoria no es 'Vinos del año'; validar contra Tags Gescom
